ID,crop_name_ko,crop_name_en,scientific_name,category,dataset_alias
61,퀴노아,Quinoa,Chenopodium quinoa,작물,quinoa|chenopodium quinoa
62,아마란스,Amaranth,Amaranthus spp.,작물,amaranth|amaranthus|amaranth leaf
63,테프,Teff,Eragrostis tef,작물,teff|tef|eragrostis tef
64,카카오,Cacao,Theobroma cacao,작물,cacao|cocoa|theobroma cacao|cacao leaf
65,커피나무,Coffee,Coffea arabica,작물,coffee|coffee plant|coffee leaf|coffea arabica
66,바닐라,Vanilla,Vanilla planifolia,작물,vanilla|vanilla plant|vanilla orchid|vanilla planifolia
67,블랙페퍼(후추),Black Pepper,Piper nigrum,작물,black pepper|peppercorn|piper nigrum|pepper plant
68,육두구,Nutmeg,Myristica fragrans,작물,nutmeg|myristica fragrans
69,정향,Clove,Syzygium aromaticum,작물,clove|clove tree|syzygium aromaticum
70,육계(계피),Cinnamon,Cinnamomum verum,작물,cinnamon|cinnamon tree|cinnamomum verum
71,사프란,Saffron,Crocus sativus,작물,saffron|crocus sativus|saffron flower
72,카다멈,Cardamom,Elettaria cardamomum,작물,cardamom|green cardamom|elettaria cardamomum
73,올스파이스,Allspice,Pimenta dioica,작물,allspice|pimenta dioica
74,과라나,Guarana,Paullinia cupana,작물,guarana|paullinia cupana
75,마카,Maca,Lepidium meyenii,작물,maca|maca root|lepidium meyenii
76,사차인치,Sacha Inchi,Plukenetia volubilis,작물,sacha inchi|inca peanut|plukenetia volubilis
77,브라질넛,Brazil Nut,Bertholletia excelsa,작물,brazil nut|bertholletia excelsa
78,캐슈넛,Cashew,Anacardium occidentale,과수,cashew|cashew nut|anacardium occidentale|cashew leaf
79,마카다미아,Macadamia,Macadamia integrifolia,과수,macadamia|macadamia nut|macadamia integrifolia|macadamia leaf
80,사탕수수,Sugarcane,Saccharum officinarum,작물,sugarcane|sugar cane|saccharum officinarum
81,스테비아,Stevia,Stevia rebaudiana,작물,stevia|stevia rebaudiana
82,모링가,Moringa,Moringa oleifera,작물,moringa|moringa oleifera|moringa leaf
83,아사이베리,Acai Berry,Euterpe oleracea,과수,acai|acai berry|euterpe oleracea
84,마키베리,Maqui Berry,Aristotelia chilensis,과수,maqui|maqui berry|aristotelia chilensis
85,카무카무,Camu Camu,Myrciaria dubia,과수,camu camu|camu-camu|myrciaria dubia
86,인디안구스베리(암라),Indian Gooseberry,Phyllanthus emblica,과수,indian gooseberry|amla|amalaki|phyllanthus emblica
87,고투콜라(병풀),Gotu Kola,Centella asiatica,작물,gotu kola|centella asiatica|centella|asiatic pennywort
88,홀리바질,Holy Basil,Ocimum tenuiflorum,작물,holy basil|tulsi|ocimum tenuiflorum
89,버터플라이피,Butterfly Pea,Clitoria ternatea,작물,butterfly pea|blue pea|clitoria ternatea
90,히비스커스(로젤),Roselle,Hibiscus sabdariffa,작물,roselle|hibiscus|hibiscus sabdariffa|hibiscus flower
91,카바카바,Kava,Piper methysticum,작물,kava|kava kava|piper methysticum
92,크라통,Kratom,Mitragyna speciosa,작물,kratom|mitragyna speciosa
93,판단,Pandan,Pandanus amaryllifolius,작물,pandan|pandan leaf|pandanus amaryllifolius
94,피멘토,Pimento,Capsicum annuum,작물,pimento|pimiento|capsicum|capsicum annuum
95,하바네로,Habanero Pepper,Capsicum chinense,작물,habanero|habanero pepper|capsicum chinense
96,캐롤라이나 리퍼,Carolina Reaper,Capsicum chinense,작물,carolina reaper|carolina reaper pepper|capsicum chinense
97,차요테 덩굴 싹,Chayote Shoots,Sechium edule,작물,chayote shoots|chayote vine|chayote|sechium edule
98,스피룰리나,Spirulina,Arthrospira platensis,작물,spirulina|arthrospira|arthrospira platensis
99,기네아생강,Guinea Ginger,Unknown / verify,작물,guinea ginger
100,타마린드,Tamarind,Tamarindus indica,과수,tamarind|tamarind fruit|tamarindus indica|tamarind leaf
