ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±ÕÃÖ°í±â¿Â(¡ÆC),Æò±ÕÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú±â¿Â ³ªÅ¸³­³¯(yyyymmdd),Æò±Õ¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð(hPa),ÃÖÀú¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ ³ªÅ¸³­³¯(yyyymmdd),¿ùÇÕ°­¼ö·®(00~24h¸¸)(mm),ÀÏÃÖ´Ù°­¼ö·®(mm),1½Ã°£ÃÖ´Ù°­¼ö·®(mm),10ºÐÃÖ´Ù°­¼ö·®(mm),ÀÏÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),1½Ã°£ÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),10ºÐÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÇ³¼Ó(m/s),ÃÖ´ëÇ³¼Ó(m/s),ÃÖ´ë¼ø°£Ç³¼Ó(m/s),ÃÖ´ëÇ³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ë¼ø°£Ç³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ëÇ³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ë¼ø°£Ç³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ÙÇ³Çâ(16¹æÀ§),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÀÏÁ¶À²(%),ÇÕ°è ÀÏ»ç·®(MJ/m2),ÃÖ½ÉÀû¼³(cm),ÃÖ½É½ÅÀû¼³(cm),3½Ã°£½ÅÀû¼³ÇÕ(cm),ÃÖ½ÉÀû¼³ ³ªÅ¸³­³¯(yyyymmdd),ÃÖ½É½ÅÀû¼³ ³ªÅ¸³­³¯(yyyymmdd)
90,¼ÓÃÊ,2017-01,.8,5,-3.3,11.3,-11.2,20170107,20170123,3.4,8.8,.7,20170107,20170114,-9.6,50,13,20170110,82.4,29.3,,,20170120,,,1.9,8.6,14.9,290,290,20170112,20170112,290,215.4,70.48,,,,,,
90,¼ÓÃÊ,2017-02,3,7.5,-1.7,14.7,-8.2,20170216,20170210,3.5,9.2,1.3,20170217,20170218,-8.6,44,11,20170216,3.2,3.2,,,20170222,,,2,11.4,17.9,360,270,20170220,20170202,290,222.2,73.58,,,,,,
90,¼ÓÃÊ,2017-03,7,11.4,2.6,18.5,-2.8,20170318,20170308,5.6,10.8,1.7,20170330,20170307,-1.9,57,17,20170307,48.7,11.8,,,20170331,,,1.9,8.1,12.2,360,360,20170306,20170306,290,199.8,53.83,,,,,,
90,¼ÓÃÊ,2017-04,14.8,20.1,9.8,30.8,2.6,20170430,20170402,8.9,15.1,2.8,20170408,20170413,4.6,56,13,20170403,46.8,17.1,6.5,2.1,20170417,20170417,20170401,2.3,8.1,14.8,270,290,20170428,20170418,270,255.2,64.38,,,,,,
90,¼ÓÃÊ,2017-05,18.7,23.8,13.8,34.3,9.3,20170519,20170501,12.8,21.6,2.3,20170529,20170506,9.9,62,11,20170531,25.2,9.8,6.9,2.7,20170513,20170513,20170513,2,9.5,17.6,360,290,20170525,20170514,140,272.3,61.61,,,,,,
90,¼ÓÃÊ,2017-06,19.8,23.8,15.9,29.7,9.9,20170614,20170602,18.2,26.3,7.5,20170629,20170610,15.6,79,28,20170609,69.7,15,6.8,5.2,20170601,20170601,20170601,1.7,7.1,16,290,290,20170609,20170609,140,204.7,46.18,,,,,,
90,¼ÓÃÊ,2017-07,25.6,29.1,22.5,34.9,18.9,20170721,20170705,26,33.6,18.3,20170721,20170701,21.7,81,40,20170711,270.3,67.6,32.4,10,20170708,20170708,20170703,1.2,5.6,11.7,200,230,20170702,20170702,140,165.4,36.71,,,,,,
90,¼ÓÃÊ,2017-08,23.7,26.7,21.1,32.4,16.4,20170822,20170830,24.6,34.8,10.2,20170805,20170826,20.5,84,25,20170826,424.9,89.4,45.3,14.8,20170818,20170818,20170818,1.1,7.7,11.6,360,360,20170824,20170824,290,107.2,25.39,,,,,,
90,¼ÓÃÊ,2017-09,20.8,25.1,16.1,28.4,13.1,20170908,20170929,17.2,26.3,4.2,20170908,20170929,14.7,71,18,20170928,50.5,28.8,24.1,20.4,20170919,20170919,20170919,1.6,7.6,15.7,70,340,20170927,20170919,290,249.2,66.77,,,,,,
90,¼ÓÃÊ,2017-10,14.5,18.8,10.5,25,4,20171001,20171031,12.5,22.4,3.7,20171009,20171031,9.5,74,19,20171001,135.4,38.8,20.3,6,20171010,20171029,20171029,1.7,9.8,15.2,360,340,20171029,20171029,270,157.7,45.39,,,,,,
90,¼ÓÃÊ,2017-11,7.8,12.3,2.9,20.4,-4,20171102,20171119,5.1,14.5,.7,20171103,20171130,-4.7,43,12,20171130,41.2,20.9,,,20171103,,,2.2,8.2,15.3,290,270,20171120,20171124,290,218.5,71.88,,,,,,
90,¼ÓÃÊ,2017-12,.7,4.7,-3.6,11.4,-9.9,20171223,20171217,2.7,8.2,.5,20171224,20171215,-12.9,38,7,20171215,9.9,9.4,,,20171224,,,2.2,9.1,17,290,290,20171216,20171216,290,230.3,77.75,,,,,,
90,¼ÓÃÊ,2018-01,-1.4,2.8,-5.6,11.9,-16.2,20180115,20180125,2.3,7.2,.5,20180117,20180126,-15.2,37,15,20180129,3.9,2.4,,,20180122,,,2,8.5,18,290,270,20180130,20180109,290,214.7,70.26,,,,,,
90,¼ÓÃÊ,2018-02,-.5,3.9,-4.9,10.5,-13.2,20180214,20180206,2.8,8.6,.5,20180228,20180211,-13.1,43,9,20180216,54.4,49,,,20180228,,,2.1,8.6,16.7,340,270,20180224,20180214,290,218.5,72.4,,,,,,
90,¼ÓÃÊ,2018-03,8,12.5,3,24.7,-6.2,20180327,20180302,6.2,14,1.3,20180315,20180313,-.6,59,8,20180313,55,22,,,20180305,,,2.2,13.4,17.3,360,360,20180315,20180315,270,171.2,46.17,,,,,,
90,¼ÓÃÊ,2018-04,13,18.8,7.5,32.5,2,20180421,20180409,7.9,14.9,1.6,20180430,20180407,2.8,57,9,20180421,141.7,56.8,6.3,1.3,20180423,20180423,20180424,2.3,8.2,15.5,360,290,20180422,20180430,270,227.6,57.47,,,,,,
90,¼ÓÃÊ,2018-05,15.9,20.7,11.6,29.4,4.5,20180516,20180510,13.1,25.5,4.5,20180516,20180504,10.5,75,15,20180504,123.6,47.3,14.1,5.5,20180517,20180517,20180517,2,10.3,19.4,360,270,20180517,20180524,340,186.4,42.2,,,,,,
90,¼ÓÃÊ,2018-06,21.3,25.9,17.4,33.9,13.2,20180624,20180617,17.7,25.5,11.4,20180630,20180621,15.4,72,25,20180622,46.5,18.6,12.4,6.3,20180626,20180628,20180628,1.7,12.5,18.1,360,360,20180620,20180620,160,208.8,47.1,,,,,,
90,¼ÓÃÊ,2018-07,25,28.7,22.1,35.4,14.8,20180722,20180707,25.7,36.5,14.7,20180725,20180708,21.3,82,40,20180722,185.4,53.2,12.3,3.5,20180701,20180701,20180701,1.6,5.7,10.4,290,140,20180713,20180703,140,209.3,46.45,,,,,,
90,¼ÓÃÊ,2018-08,25.6,29.2,22.4,38.7,17.2,20180805,20180818,26.9,37.4,17.3,20180804,20180818,22.1,82,40,20180805,625,226.2,70.1,18.1,20180806,20180806,20180806,1.6,9.1,12,340,340,20180824,20180824,160,185.3,43.85,,,,,,
90,¼ÓÃÊ,2018-09,20,23.8,16.2,29,12.6,20180905,20180925,17,25,6.7,20180904,20180930,14.5,73,27,20180924,66.1,24.4,8.5,4.2,20180921,20180903,20180903,1.5,5.9,13.9,290,290,20180905,20180905,270,196.1,52.52,,,,,,
90,¼ÓÃÊ,2018-10,13.5,17.9,9,23.8,.3,20181007,20181030,9.6,18.8,3.8,20181006,20181027,5.5,61,20,20181008,257.6,130,28.9,7.6,20181006,20181018,20181018,1.8,8.4,16.8,290,290,20181027,20181001,270,229.5,65.99,,,,,,
90,¼ÓÃÊ,2018-11,9.2,13.3,5.3,19.2,-1.9,20181104,20181123,7,14.6,1.5,20181108,20181123,.3,57,16,20181128,207.4,152.8,,,20181107,,,1.6,6.3,13.6,110,270,20181106,20181109,290,165.7,54.47,,,,,,
90,¼ÓÃÊ,2018-12,1.6,5.8,-2.4,12.7,-11.4,20181202,20181228,3.3,12.6,.4,20181204,20181227,-11.4,42,8,20181227,10.4,7.1,,,20181204,,,1.8,7.1,15.1,290,290,20181227,20181227,290,208,70.2,,,,,,
90,¼ÓÃÊ,2019-01,1.7,6.3,-3,12.8,-9,20190130,20190116,2.4,6.8,.4,20190112,20190110,-13.4,35,4,20190110,8.7,8.7,,,20190131,,,1.9,9.9,15.1,340,360,20190125,20190125,290,232.1,76.02,,,,,,
90,¼ÓÃÊ,2019-02,2.5,6.5,-1.7,15.7,-7.3,20190224,20190208,3.7,8.1,1,20190203,20190211,-8,49,13,20190204,27.6,13.6,,,20190203,,,1.8,7,14.1,290,290,20190215,20190201,290,215.2,71.38,,,,,,
90,¼ÓÃÊ,2019-03,8.2,13.1,3.1,21.6,-1.4,20190319,20190314,5.4,12.5,1.2,20190320,20190313,-2.6,51,7,20190309,44.4,12.3,,,20190320,,,2.1,10.5,16,360,360,20190327,20190327,270,233.1,62.93,,,,,,
90,¼ÓÃÊ,2019-04,11.9,16.6,6.9,25.9,1.3,20190417,20190411,7.5,19,1.9,20190424,20190405,1.4,55,8,20190416,80.9,31.2,4.6,1.7,20190410,20190410,20190426,2.1,11,20.4,340,290,20190408,20190404,270,230.5,58.27,,,,,,
90,¼ÓÃÊ,2019-05,19.8,25,14.7,34.2,6.5,20190525,20190506,11.2,19.1,2.8,20190527,20190505,7.6,52,8,20190505,5.7,4,2.6,.9,20190527,20190527,20190527,2.2,9.5,13.6,360,340,20190506,20190506,270,296.2,67.06,,,,,,
90,¼ÓÃÊ,2019-06,20,24.1,16.6,30.2,11.5,20190603,20190612,18.1,26.3,7.7,20190630,20190602,15.6,78,19,20190601,97.8,44,18.6,11.2,20190607,20190615,20190615,1.8,6.3,9.6,340,160,20190621,20190603,140,224.8,50.72,,,,,,
90,¼ÓÃÊ,2019-07,24.7,28,21.8,36.1,17.7,20190723,20190708,24.4,35.2,15.4,20190728,20190702,20.5,80,36,20190702,234.4,92.5,26.9,7.9,20190711,20190726,20190726,1.7,6.7,11.9,340,160,20190711,20190720,140,196,43.49,,,,,,
90,¼ÓÃÊ,2019-08,25.7,29.4,22.7,35.6,19.3,20190801,20190831,25.6,34.4,14.5,20190805,20190831,21.2,78,35,20190823,293.5,203.7,37,13,20190815,20190815,20190807,1.7,7.2,12.9,360,290,20190815,20190801,140,230.7,54.58,,,,,,
90,¼ÓÃÊ,2019-09,20.9,24.7,17.5,32.3,11.6,20190907,20190923,19.5,29.7,11.4,20190907,20190924,16.9,79,41,20190918,209.9,58.8,12.8,3.3,20190922,20190905,20190905,1.5,9.9,18.1,160,180,20190907,20190907,270,145.2,38.85,,,,,,
90,¼ÓÃÊ,2019-10,16.1,20,12.1,25,6.5,20191001,20191030,12.6,24.1,4.3,20191002,20191030,9.6,68,25,20191030,185.5,78.8,19.5,4.9,20191003,20191005,20191005,1.9,10.2,15.6,360,340,20191003,20191003,290,157.7,45.33,,,,,,
90,¼ÓÃÊ,2019-11,9.4,13.9,5.2,21.1,-1.2,20191105,20191120,6.9,14.9,1,20191102,20191114,.3,57,12,20191114,157.3,71.1,,,20191125,,,1.8,7.5,15.5,290,290,20191118,20191118,270,186.9,61.42,,,,,,
90,¼ÓÃÊ,2019-12,4.2,8.4,-.2,14.4,-7.1,20191216,20191206,3.9,10.4,.5,20191217,20191205,-7.7,45,7,20191205,9.8,9.8,,,20191218,,,1.9,9.9,15.9,290,270,20191202,20191211,290,194.7,65.71,,,,,,
90,¼ÓÃÊ,2020-01,3.4,7.2,.3,11.2,-4.1,20200122,20200114,4.2,12.4,1.4,20200107,20200114,-6.3,53,17,20200116,148.1,58.6,,,20200107,,,2.1,9.7,16.4,340,360,20200108,20200108,270,163.3,53.52,,,,,,
90,¼ÓÃÊ,2020-02,4.1,8,-.2,16.1,-8.2,20200213,20200206,4.6,10.9,.8,20200215,20200205,-5.6,53,14,20200224,55.8,24.1,,,20200225,,,2,8.4,16.5,270,290,20200216,20200222,270,194.1,62.11,,,,,,
90,¼ÓÃÊ,2020-03,7.9,12.6,2.7,19.3,-1.8,20200326,20200305,6,12.6,1.6,20200327,20200313,-1.3,56,11,20200313,38,20.7,,,20200310,,,2.4,8.7,19.8,270,290,20200319,20200319,270,263.7,71,,,,,,
90,¼ÓÃÊ,2020-04,11.3,16.1,6.3,24.5,.9,20200430,20200405,6.5,12.8,2.1,20200417,20200421,-.1,50,12,20200403,38.4,18.1,6.7,2.9,20200419,20200419,20200418,2.5,10.1,17.5,360,270,20200404,20200422,270,256,64.55,,,,,,
90,¼ÓÃÊ,2020-05,17.1,21.6,13.3,32.4,7.8,20200501,20200519,13.1,18.5,3.8,20200530,20200514,10.5,70,12,20200514,245.1,140,25.8,5.3,20200519,20200519,20200519,2.2,9.6,19.2,270,270,20200511,20200511,140,218.5,49.42,,,,,,
90,¼ÓÃÊ,2020-06,22.2,26.4,18.3,33.2,13.9,20200614,20200603,19.1,24.3,7.5,20200623,20200602,16.6,74,20,20200601,271.9,214.6,30.9,9.9,20200630,20200630,20200630,2.2,9.3,16.3,360,360,20200630,20200630,140,238.7,53.85,,,,,,
90,¼ÓÃÊ,2020-07,21.6,24.7,19,33.3,15.6,20200731,20200712,21.9,29.1,16.3,20200731,20200716,18.9,85,45,20200731,374.7,115.5,35.9,8,20200724,20200724,20200724,1.9,8.6,16.3,90,70,20200724,20200724,140,168.5,37.41,,,,,,
90,¼ÓÃÊ,2020-08,25.7,29.6,22.8,35.1,19.6,20200819,20200823,26.5,34.2,20,20200829,20200819,22,82,40,20200819,411.3,127.9,31.3,8.4,20200805,20200804,20200804,1.4,9.1,12.3,360,160,20200806,20200827,140,128.4,30.43,,,,,,
90,¼ÓÃÊ,2020-09,20.1,23.8,16.8,28.7,12.1,20200903,20200928,17.5,29.7,9.2,20200903,20200919,15.1,75,26,20200919,482.8,192.5,51.8,12.7,20200907,20200902,20200902,2.2,10.2,20.9,50,270,20200903,20200903,270,152.5,40.91,,,,,,
90,¼ÓÃÊ,2020-10,14.3,19,9.7,23.7,4.6,20201002,20201024,9.8,18.1,2.7,20201003,20201024,5.8,60,16,20201025,0,0,0,0,20201013,20201013,20201013,1.7,6.4,13.6,360,360,20201014,20201005,270,231.3,66.66,,,,,,
90,¼ÓÃÊ,2020-11,10,14.4,5.4,23.1,-2.1,20201119,20201130,6.1,20.2,.8,20201119,20201108,-2.1,47,6,20201108,19.2,15.3,,,20201119,,,2,8.2,18.2,230,290,20201120,20201119,270,204.5,67.38,,,,,,
90,¼ÓÃÊ,2020-12,1.8,6,-2.5,11.2,-11.3,20201228,20201231,2.7,6.8,.4,20201229,20201219,-12.9,35,6,20201219,.5,.5,,,20201213,,,2.1,7.8,17.4,290,270,20201231,20201231,270,228.4,77.08,,,,,,
90,¼ÓÃÊ,2021-01,-1.2,2.9,-5.5,9.7,-16.1,20210121,20210108,2.9,8.7,.4,20210125,20210108,-13.6,43,10,20210102,0,0,,,20210131,,,2.3,9,18.9,290,250,20210107,20210128,290,200.4,65.58,,,,,,
90,¼ÓÃÊ,2021-02,3.1,7.7,-1.5,17.8,-10.1,20210220,20210218,4.2,9.5,.8,20210214,20210216,-7.4,51,13,20210202,5,4.8,,,20210227,,,2.3,8.1,17.3,290,290,20210202,20210219,270,214.2,70.93,,,,,,
90,¼ÓÃÊ,2021-03,8,12.6,3.7,18.9,-4.5,20210323,20210303,6.6,13.3,2.5,20210328,20210323,.4,64,14,20210323,104.2,73.4,,,20210301,,,2,9.3,18.1,270,290,20210329,20210329,270,209,56.29,,,,,,
90,¼ÓÃÊ,2021-04,12.3,16.6,7.8,23.8,2,20210419,20210405,8.5,15.2,3.3,20210422,20210417,4,61,15,20210428,97.2,40.5,5.9,1.7,20210403,20210403,20210403,2.3,9.5,19.9,270,290,20210419,20210419,270,228.4,57.62,,,,,,
90,¼ÓÃÊ,2021-05,16.7,21.5,12.1,29.8,7.6,20210523,20210502,11.6,18.2,3.3,20210522,20210506,8.4,63,14,20210509,154.9,67,12.1,3.4,20210516,20210516,20210516,2.1,10,22.8,270,270,20210507,20210507,270,239.6,54.21,,,,,,
90,¼ÓÃÊ,2021-06,20.3,23.8,17.1,30,12.9,20210607,20210604,18.9,25.2,6.9,20210627,20210605,16.4,81,26,20210605,43.8,10.2,7.1,6.6,20210603,20210622,20210622,1.7,8,15.3,360,290,20210603,20210604,140,185.7,41.89,,,,,,
90,¼ÓÃÊ,2021-07,25.5,29.3,22.3,33.2,18.1,20210731,20210705,27.5,35,20,20210730,20210706,22.5,85,50,20210705,104.1,50.3,13.3,3.8,20210704,20210704,20210704,1.5,5.9,9.5,360,360,20210704,20210704,140,270,59.92,,,,,,
90,¼ÓÃÊ,2021-08,24.4,28,21.5,33.8,17.1,20210804,20210831,24.3,36.1,15.7,20210801,20210827,20.4,80,42,20210828,247.1,83.5,67.5,22.5,20210808,20210808,20210808,1.6,7.3,12.5,20,290,20210809,20210822,270,133,31.51,,,,,,
90,¼ÓÃÊ,2021-09,20.9,24.7,17.6,28.8,14.6,20210921,20210930,19.6,26,12.1,20210910,20210923,17.1,80,31,20210911,141.6,43.1,9.5,6.8,20210907,20210905,20210924,1.7,8.7,11.9,360,360,20210929,20210929,270,195.8,52.49,,,,,,
90,¼ÓÃÊ,2021-10,15.5,20,11.6,27.5,2.2,20211010,20211017,12.7,24.9,2.9,20211005,20211017,9.3,69,28,20211028,216.9,56.9,20.4,8.2,20211005,20211015,20211015,1.8,8.2,13,70,270,20211019,20211004,270,174,50.09,,,,,,
90,¼ÓÃÊ,2021-11,9.9,14.4,5.7,20.1,-1.8,20211107,20211123,6.5,15.3,1,20211106,20211123,-.9,50,8,20211129,16.2,10.9,,,20211102,,,2.2,9.3,17,290,290,20211111,20211123,290,208.2,70.99,,,,,,
90,¼ÓÃÊ,2021-12,2.8,7.2,-1.9,13.9,-14.9,20211210,20211226,3.8,9.3,.8,20211210,20211218,-8.4,47,14,20211218,68.7,42.1,,,20211224,,,2.2,9.2,18.4,270,320,20211202,20211202,290,219.8,74.21,,,,,,
90,¼ÓÃÊ,2022-01,-.6,3,-4.5,7.8,-9.8,20220126,20220112,2.9,6.1,.9,20220124,20220117,-11.1,48,14,20220103,3.6,3.1,,,20220119,,,1.9,7.1,12,340,270,20220127,20220113,290,227.2,74.37,,,,,,
90,¼ÓÃÊ,2022-02,.3,4.3,-3.9,12.7,-10.9,20220228,20220217,2.7,7.3,.9,20220228,20220221,-12.6,40,10,20220224,11.1,8.1,,,20220213,,,2.3,7.8,15.4,270,250,20220226,20220226,290,243.8,80.76,,,,,,
90,¼ÓÃÊ,2022-03,7.1,11.3,2.9,21,-2,20220311,20220307,6,11.7,1.1,20220326,20220305,-1.3,61,9,20220310,114.5,29.2,,,20220319,,,2.1,11.9,16.5,360,340,20220326,20220326,270,189.4,51.08,,,,,,
90,¼ÓÃÊ,2022-04,14.2,19.1,8.8,29.8,1.8,20220410,20220402,8.4,16.8,2.9,20220426,20220408,3.7,55,12,20220410,33.5,15.6,2.7,.8,20220429,20220429,20220429,2.3,8.6,22.3,270,270,20220409,20220409,270,269,67.93,,,,,,
90,¼ÓÃÊ,2022-05,18.5,23.7,13.1,33.5,5.8,20220528,20220502,11,18.3,4.3,20220529,20220529,7.7,54,12,20220529,9.1,7.7,2.9,.9,20220507,20220507,20220507,2.2,8.4,15.9,270,290,20220507,20220504,270,312.7,70.76,,,,,,
90,¼ÓÃÊ,2022-06,20.9,24.7,17.6,34.6,10.1,20220625,20220608,19.3,29.5,4.8,20220629,20220601,16.5,79,16,20220601,248.7,75.4,22.8,13.7,20220606,20220623,20220623,1.9,7.9,14.7,110,250,20220606,20220628,140,169.6,38.26,,,,,,
90,¼ÓÃÊ,2022-07,24.3,27.7,21.9,33.4,18.8,20220708,20220723,26.4,32.4,20.8,20220730,20220723,22,88,51,20220708,213.1,87.2,15.9,6.2,20220721,20220721,20220715,1.5,7.5,10.3,360,360,20220714,20220714,140,135.5,30.07,,,,,,
90,¼ÓÃÊ,2022-08,24.6,28.4,21.3,35.5,15.8,20220806,20220828,25.2,35,11.5,20220804,20220827,20.9,81,36,20220827,323.7,110.9,23,8.8,20220809,20220809,20220814,1.3,6.2,13.9,360,290,20220805,20220815,270,151.1,35.75,0,,,,,
90,¼ÓÃÊ,2022-09,20.3,24.8,16.3,29.2,10.9,20220907,20220921,18.2,26.6,7.5,20220917,20220924,15.5,76,25,20220924,263.8,119.4,14.6,5.3,20220905,20220919,20220919,1.8,8.6,14.8,50,270,20220919,20220923,270,203.7,54.55,,,,,,
90,¼ÓÃÊ,2022-10,13.9,18.2,10,29.9,4.8,20221001,20221026,11.2,21.7,4,20221004,20221022,7.9,70,15,20221021,377.1,76.8,21.7,6.5,20221004,20221027,20221006,1.8,8.6,19.8,270,290,20221010,20221010,270,153.8,44.22,,,,,,
